year,international,financial_aid,SA
2022,No,No,0
2021,No,No,0
2023,No,Yes,0
2023,No,Yes,-0.548835754
2024,No,Yes,0
2024,No,Yes,0.999666154
2023,No,No,0
2021,No,No,0
2022,No,No,-0.99971348
2024,No,No,0
2022,No,Yes,0
2023,No,Yes,0
2024,Yes,Yes,0
2022,No,Yes,0
2024,No,No,-0.999443412
2022,No,Yes,-0.999807775
2022,No,No,0
2023,No,Yes,0
2022,No,No,-0.999250174
2024,No,No,0
2023,No,No,0
2024,No,Yes,-0.92212683
2022,Yes,Yes,0
2023,Yes,Yes,0
2023,Yes,No,-0.987669766
2024,No,No,0.998687565
2023,No,Yes,0
2024,Yes,Yes,0
2022,No,Prefer not to say,0
2023,No,Yes,-0.996399522
2024,No,No,0
2022,No,No,-0.974744797
2022,No,No,0
2021,No,Yes,-0.999745488
2021,No,Yes,-0.936879873
2023,No,No,0
2022,No,Yes,0
2024,No,Yes,-0.998492062
2021,No,No,0
2021,No,No,0
2024,No,Yes,0
2024,Yes,Yes,0
2024,Yes,Yes,-0.979818463
2024,No,No,-0.999492109
2022,No,No,0
2021,No,Yes,0
2023,No,No,0
2022,Yes,Yes,-0.99979353
2021,No,No,0
2021,No,Yes,-0.993264139
2022,No,No,0
2023,No,Yes,0
2022,No,No,-0.9659729
2021,No,No,-0.99958688
2023,No,No,0
2021,No,Yes,-0.998271704
2021,No,No,0
2022,No,Yes,-0.999401867
2021,No,Yes,0
2024,No,No,-0.992940962
2021,No,Yes,0.998098493
2022,No,No,-0.99872911
2021,No,Yes,-0.997868001
2024,No,No,-0.999768853
2023,No,No,0
2024,No,No,0
2023,No,Yes,-0.984320343
2022,No,Yes,-0.987337053
2024,Yes,No,0
2022,No,No,0
2024,No,Yes,-0.983453453
2024,Yes,Yes,0
2021,No,No,0
2023,No,No,-0.996369243
2021,Yes,Yes,0
2024,No,Yes,-0.999778271
2024,No,Yes,0
2022,No,No,0
2024,No,Yes,-0.991183758
2024,No,Yes,0.972601473
2023,No,Yes,-0.750177979
2024,No,No,-0.990175962
2024,Yes,Yes,0
2024,No,Yes,0
2024,No,Yes,0.995657623
2024,No,Yes,0
2023,No,Prefer not to say,0
2021,Yes,Yes,0
2022,No,Yes,-0.999511063
2022,No,No,0
2021,Yes,Yes,-0.997603238
2023,No,No,-0.992344081
2024,Yes,No,0
2024,No,No,0
2024,No,Yes,-0.99936986
2024,No,Prefer not to say,0
2024,No,No,0
2022,No,No,-0.968301594
2023,No,No,-0.947813869
2021,Yes,No,0
2022,Yes,No,0
2021,No,Prefer not to say,0
2024,No,No,0.943487346
2024,Yes,Yes,0.909391403
2024,No,Yes,0
2023,Yes,Yes,0
2023,No,Yes,0
2024,Yes,Yes,0
2022,Yes,Yes,-0.999727309
2022,No,Yes,0
2023,No,Yes,-0.90253824
2021,No,No,0
2023,No,Yes,0
2022,No,Yes,0
2024,Yes,Yes,0.999820292
2022,No,No,-0.99882561
2022,No,Yes,-0.998754144
2021,No,Yes,0
2024,No,Yes,-0.987011075
2024,Yes,Yes,0
2022,No,Yes,-0.99861294
2024,No,Yes,0
2021,No,Yes,-0.999793768
2022,No,No,0
2023,No,No,-0.98387903
2023,No,No,0
2024,No,No,0
2024,No,Yes,0
2021,No,Yes,0
2024,No,Prefer not to say,0
2023,No,Yes,-0.998946607
2023,No,No,0
2021,No,Yes,0
2024,No,No,0.943999648
2023,Yes,Yes,0
2024,No,Prefer not to say,-0.999810815
2024,Yes,Yes,0
2024,No,Yes,0
2021,No,Yes,0
2024,No,Yes,0
2024,Yes,Yes,0.996504724
2022,No,Prefer not to say,0
2024,No,Yes,0
2024,Yes,Prefer not to say,-0.99979192
2023,No,Yes,0.959358752
2024,No,Yes,0.999627292
2021,No,No,0
2022,No,Yes,0
2021,No,No,0
2022,No,Yes,-0.998831332
2022,No,No,0.507288158
2021,No,Yes,0
2022,Yes,Yes,-0.999797165
2023,No,Yes,0
2024,Yes,Yes,-0.990217686
2022,No,Prefer not to say,-0.999380112
2023,No,Yes,0.979731798
2022,Yes,Yes,-0.993986785
2021,No,No,-0.984166145
2021,No,Prefer not to say,0.984468758
2024,No,No,0
2024,No,Yes,0.997142255
2024,No,Yes,-0.994488358
2023,Prefer not to say,Prefer not to say,0
2023,No,No,0
2022,No,No,0
2023,No,Prefer not to say,0
2024,No,Yes,0
2024,No,Yes,-0.961933076
2023,No,Yes,0
2024,No,Yes,0.996827364
2024,No,No,0
2024,No,No,-0.992765129
2024,No,No,0.965034187
2023,No,Prefer not to say,0
2024,Yes,Yes,0
2024,No,No,0.999520659
2022,No,No,-0.999785364
2022,No,Prefer not to say,0.999677539
2023,No,No,0
2021,No,Yes,0
2022,No,No,0
2024,No,Yes,0.867736161
2024,No,No,0
2024,No,No,0.991914511
2021,No,No,-0.967760384
2021,No,Yes,0
2022,No,No,-0.999417186
2024,No,Yes,0
2023,No,Yes,0
2021,No,No,0
2024,Yes,Yes,0
2024,No,Yes,-0.999442637
2024,No,No,0
2021,Yes,Yes,-0.99522686
2024,Yes,Yes,0
2021,No,No,-0.999765635
2023,No,Yes,-0.99928844
2024,No,No,0.924019516
2023,No,No,-0.999786556
2024,No,No,0
2023,No,No,0.999077618
2022,No,No,0
2023,Yes,Yes,0
2023,No,No,0
2022,Yes,Yes,-0.986564875
2024,No,Yes,0
2021,No,Yes,0
2021,Yes,No,0
2023,No,No,0
2023,No,Prefer not to say,0
2024,No,No,0
2024,No,No,0
2024,No,No,-0.999421656
2024,No,Yes,0
2021,No,No,0
2022,No,No,-0.999610186
2023,No,Yes,-0.998797655
2024,No,Yes,0
2024,No,Prefer not to say,0
2023,No,No,0
2023,No,Yes,0
2023,No,No,0.995192289
2024,No,No,0.993822515
2024,Yes,No,0
2021,No,No,0
2023,No,No,-0.917704284
2022,No,No,-0.998572052
2022,No,No,0
2024,No,No,-0.999619663
2023,Yes,Yes,0
2023,No,Yes,-0.995154023
2024,No,Yes,-0.998851299
2022,No,No,0
2024,No,Yes,-0.998105347
2023,No,No,0
2024,No,No,0.999047101
2024,Yes,Yes,-0.999737263
2024,Yes,Yes,0
2024,No,Yes,0
2024,Yes,Yes,-0.998599112
2024,No,Yes,0
2024,No,No,0
2021,No,No,-0.994632065
2021,Yes,Yes,0
2021,No,No,0
2024,No,Yes,-0.999239802
2021,No,Yes,-0.999637067
2024,No,No,0.997361779
2024,Yes,Yes,-0.988976896
2024,No,No,0.999628961
2021,No,No,0.992293119
2021,No,No,0
2023,Yes,Yes,0
2024,No,Yes,-0.998141408
2023,No,Yes,0.997627139
2023,No,Yes,0
2022,No,Yes,0.992794096
2024,No,No,0
2023,No,No,-0.999782383
2023,No,No,0
2024,No,Yes,0.998975277
2022,No,Yes,-0.999656141
2024,Yes,Prefer not to say,0
2024,No,No,-0.977638543
2023,No,Prefer not to say,0
2023,No,Yes,0
2021,No,No,-0.998831332
2021,No,No,-0.999785781
2024,No,No,0
2022,No,Yes,0
2024,No,No,-0.72219342
2023,No,No,-0.999266088
2022,No,No,-0.997927129
2022,No,No,0
2021,Yes,Yes,0
2022,No,Yes,0
2024,No,Yes,0
2024,No,Yes,-0.999664366
2024,Yes,Yes,-0.999366224
2022,No,No,-0.994968176
2023,Yes,Yes,0
2024,No,Yes,-0.999285936
2024,No,Yes,0
2023,No,No,-0.999751925
2024,Yes,No,-0.999129236
2022,No,No,-0.995654583
2021,No,No,0
2023,No,Yes,0
2024,No,No,-0.997592986
2024,No,Yes,-0.995133936
2022,No,Yes,-0.954306901
2021,No,No,0
2024,Yes,Yes,0
2024,No,No,0.997608185
2022,No,Yes,0
2023,Yes,Yes,-0.998897433
2024,No,No,0
2023,No,No,-0.979642093
2024,No,Yes,-0.967664778
2021,No,No,-0.996635973
2022,No,Yes,-0.999195576
2024,No,Yes,-0.999651611
2023,No,Yes,0
2024,No,Yes,0
2024,No,Yes,-0.996111333
2024,No,Yes,-0.99725306
2024,No,Yes,0
2022,No,Yes,0
2022,No,Yes,0
2023,No,Yes,0
2024,No,No,0
2024,Yes,No,0.999814808
2023,No,No,0
2023,No,Yes,0
2022,Yes,No,-0.999373257
2024,No,Yes,0
2022,No,No,-0.99904865
2023,No,No,-0.999747455
2023,Yes,Yes,0
2022,No,Yes,0
2023,Yes,Yes,0
2022,No,No,0
2021,No,Yes,0
2023,No,No,0
2024,No,Yes,-0.999471903
2022,No,No,-0.999327779
2024,Yes,Yes,0.971423686
2021,Yes,Yes,0
2024,No,No,0
2024,No,No,0
2021,No,No,0
Other,No,Yes,-0.995187104
2023,No,No,-0.989397466
2021,No,No,0
2023,No,Yes,0
2023,Yes,Yes,0
2021,No,Yes,0
2022,No,No,0
2023,No,No,0
2022,No,No,0
2022,No,Yes,0
2022,No,Yes,-0.999802172
2024,No,Yes,-0.969938159
2022,No,Yes,0
2021,No,Yes,-0.947813869
2023,No,No,0
2024,No,Yes,0
2023,No,No,-0.995829284
2021,No,No,-0.868817151
2021,No,No,-0.999700308
2023,Yes,No,0.563847959
2024,No,Yes,0.99847728
2024,No,Yes,0
2022,No,Yes,-0.99961859
2021,No,No,0
2024,No,No,-0.989283383
2024,No,Yes,-0.740671992
2024,No,No,0.937944949
2024,No,Yes,-0.999678135
2021,No,Yes,-0.999759674
2024,Yes,No,0
2024,No,Yes,0.997121215
2021,No,No,0
2022,Prefer not to say,Prefer not to say,-0.998942435
2021,No,Yes,0
2023,No,Yes,-0.999079585
2023,No,Yes,-0.995706797
2024,No,No,0
2021,No,Yes,0
2023,No,No,-0.824030995
2022,No,No,0
2021,No,Yes,0
2023,No,Yes,0
2022,No,Yes,0
2022,No,No,0
2024,Yes,No,0.990950167
2022,No,No,0
2021,No,No,0
2021,No,No,-0.978925407
2024,No,No,0
2021,Yes,Yes,0.91379869
2024,No,Yes,0.99945277
2024,No,Yes,0
2024,No,Yes,-0.974028349
2024,No,Yes,0
2024,No,Yes,0
2024,No,Yes,0
2023,No,Yes,0.949622571
2024,Yes,Yes,0.998568952
2022,No,Yes,0
2024,No,No,0.999818325
2022,No,Yes,-0.9939695
2023,No,Yes,-0.973249018
2023,No,Yes,0
2024,No,Yes,-0.97360611
2024,No,Yes,0
2021,No,Yes,0
2024,No,Yes,0
2021,No,No,-0.999813676
2024,No,Yes,0.926146388
2021,No,No,-0.997608781
2024,No,No,-0.994350851
2021,No,No,0
2022,No,No,0
2024,No,Yes,0.999851644
2024,No,Yes,0.977974832
2021,No,No,-0.999207973
2023,No,No,0
2023,Yes,Yes,0
2023,No,No,-0.99925822
2022,No,Yes,-0.999690771
2022,No,Prefer not to say,0
2023,No,Yes,-0.998393238
2023,Yes,No,-0.99898988
2024,No,No,-0.999007523
2021,No,Yes,0
2021,No,No,-0.991783023
2024,No,No,0
2021,No,Yes,-0.98267293
2024,No,No,0
2024,No,Prefer not to say,0
2021,Yes,Yes,0
2023,No,No,0
2024,No,No,-0.999751389
2024,No,Yes,0
2024,No,Yes,0
2022,No,Yes,0
2024,No,No,0
2023,No,No,0
2024,No,Yes,-0.999676287
2024,No,No,-0.999613762
2021,No,Yes,0
2022,Yes,Yes,0
2024,No,Yes,-0.997684538
2024,No,Yes,-0.854044676
2023,No,Yes,0
2023,No,No,0
2021,No,No,0.970405996
2021,No,No,-0.999342859
2023,No,Prefer not to say,0
2023,Yes,Yes,0
2024,No,No,0
2024,Yes,Yes,-0.998981714
2023,No,No,-0.999782383
2024,Yes,Yes,0
2023,No,Yes,-0.999696195
2024,No,Yes,0
2021,Yes,No,-0.999189913
2023,Yes,Yes,0
2023,No,Yes,-0.999794364
2023,No,Yes,0
2023,No,Yes,0
2024,No,Yes,0
2021,No,Yes,-0.998545825
2024,No,Yes,0.994752645
2023,No,Yes,0
2024,No,No,-0.999492884
2021,No,No,-0.997316897
2024,Yes,Yes,0
2022,No,Yes,0
2024,No,No,-0.996033788
2022,No,No,0
2021,No,No,0
2023,No,No,0
2022,No,No,0
2022,Yes,Yes,0
2023,Yes,Yes,0
2024,No,Yes,0.968598545
2024,No,No,-0.99251163
2023,Yes,Yes,0
2023,No,Yes,-0.999129653
2024,Yes,Yes,0
2024,No,No,-0.999673843
2024,No,No,0
2024,No,Yes,0.988870859
2022,No,No,0
2022,No,Yes,0
2021,No,No,-0.968896091
2022,Yes,No,-0.999752998
2024,No,Yes,-0.996145248
2022,No,No,0
2022,No,No,0
2021,No,Yes,0.997810066
2024,No,Yes,0
2021,No,No,-0.999686778
2023,No,Yes,0
2024,No,No,-0.999084592
2024,No,No,-0.999628127
2021,No,No,0
2022,No,No,-0.999309957
2024,Yes,Yes,0
2024,Yes,Yes,0
2023,Yes,Yes,0
2024,No,Yes,-0.995891213
2021,No,Yes,-0.996859014
2024,No,Yes,0
2024,No,Yes,0
2024,No,No,0
2021,No,No,0
2022,No,No,0
2023,Yes,No,-0.948534191
2022,No,No,-0.999719977
2022,No,Yes,-0.996222198
2024,No,Yes,0
2024,No,Yes,-0.988185465
2023,No,Yes,0
2021,No,No,0
2023,No,Yes,-0.997971416
2023,No,No,-0.951096416
2024,No,No,0
2024,No,Yes,0
2024,No,Yes,0.998065531
2021,No,Yes,0
2022,No,No,-0.999789715
2022,No,No,0
2024,No,No,0
2022,No,Yes,-0.999664307
2021,No,Yes,0
2023,No,No,-0.999784827
2022,No,No,0
2024,Yes,No,-0.995155275
2024,No,Yes,-0.987442136
2023,No,No,-0.999490499
2021,No,No,0
2022,No,Yes,0
2021,No,No,0.979039073
2023,No,No,0
2021,No,No,0.970577717
2024,No,Yes,0.999866724
2023,Yes,Yes,0
2024,No,Yes,-0.9993397
2022,No,Yes,0
2022,No,No,-0.999767721
2021,No,Prefer not to say,0
2022,No,No,-0.999767959
2021,No,Yes,0
2023,No,Yes,0
2021,No,No,0
2023,No,No,0
2022,No,Yes,0
2021,No,Yes,0
2021,Yes,Yes,0
2023,Yes,No,-0.999041021
2024,No,No,-0.9771837
2024,No,Yes,-0.960641265
2024,Yes,Yes,0.999605894
2023,No,No,0
2024,No,Yes,0
2021,No,Yes,-0.99877888
2021,No,No,-0.999798954
2022,No,No,0
2024,No,No,0.981935143
2021,No,No,-0.999599993
2021,No,Yes,0.971014202
2024,No,No,-0.997453868
2022,No,Yes,0
2024,No,Yes,0
2021,No,Yes,0
2024,No,Yes,0
2023,No,Yes,0
2024,No,Yes,-0.999497056
2024,No,Yes,-0.999212503
2022,No,No,0
2023,No,No,-0.99979645
2022,No,Yes,0
2023,Yes,No,-0.992576957
2024,No,No,0
2021,No,No,0
2024,No,Yes,0
2024,No,No,0
2023,Yes,Yes,-0.996256649
2024,Yes,Yes,-0.999786735
2024,No,No,0
2023,No,No,0
2024,Yes,No,0.999590099
2024,No,No,-0.998490095
2022,No,No,0
2024,No,No,0
2024,No,Yes,0.991562188
2023,No,No,0
2022,No,Yes,-0.992149115
2023,No,No,0
2022,No,No,0.980949581
2024,No,Yes,0
2024,No,Yes,0
,,,0
2024,No,No,0
2024,No,No,0.999212265
2023,No,No,0.999736309
2022,No,No,0
2024,No,Yes,0.993549645
2024,No,No,0.507985473
2023,No,Yes,-0.999384522
2023,No,Yes,-0.998887062
2021,No,No,0
2024,No,No,0
2021,No,No,0
2024,No,Yes,0
2021,No,No,0
2024,No,Yes,0
2024,Yes,No,0
2022,No,Yes,0.948544323
2024,No,Yes,0.774702966
2021,No,No,0
2023,No,No,0
2022,No,Yes,-0.999648452
2021,No,Yes,-0.993492782
2024,Yes,No,0.9696486
2022,No,Yes,-0.982647359
2022,No,No,0.998381197
2024,No,Yes,0.966184556
2023,No,Yes,0
2024,No,Yes,0.998499751
Other,No,No,0
2024,No,No,0
2024,No,Yes,-0.985396147
2024,Yes,Yes,0
2023,No,Yes,0
2024,Yes,Yes,0
2022,No,No,-0.999129653
2024,Yes,Yes,0.991675317
2022,No,Yes,0.979039073
2023,Yes,Yes,0
2021,No,No,0.99233371
2023,No,No,-0.986936033
2021,No,Yes,-0.995971084
2024,No,Yes,0
2024,No,Yes,0
2021,No,No,0
2022,No,Yes,0
2022,No,Yes,-0.996715546
2023,No,No,-0.997063875
2024,Yes,Yes,0
2022,Yes,No,0
2024,No,No,-0.998203337
2024,Yes,Yes,0
2021,No,No,-0.999800026
2021,No,Yes,-0.999744773
2023,No,Yes,0
2024,No,No,-0.997146189
2024,No,Yes,-0.995095372
2021,No,No,0
2024,No,No,-0.998988569
2023,No,Yes,-0.999088466
2022,No,No,-0.996399522
2024,No,No,0.999760747
2024,No,Yes,-0.999010444
2024,No,No,0
2024,Yes,Yes,0
2022,No,Yes,0
2023,Yes,No,0
2024,No,No,0
2024,No,Yes,-0.729200602
2021,No,No,0
2024,No,Yes,0
