year,international,financial_aid,SA
2024,No,No,-0.999720037
2021,No,Yes,-0.999161959
2022,No,No,0
2023,No,No,0
2022,No,No,0
2023,No,No,0
2021,No,Yes,0
2021,No,No,0
2022,No,Yes,0
2021,Yes,No,-0.98714304
2024,No,No,-0.521334291
2023,No,Yes,0
2023,No,Yes,0
2023,No,Yes,0
2022,No,No,-0.995491683
2023,No,No,-0.965664089
2023,No,Yes,0
2022,No,No,0
2024,No,Yes,0.999852717
2023,No,Yes,0
2024,No,Yes,0
2024,No,Yes,0
2023,No,Yes,-0.998188257
2022,No,No,-0.998242497
2021,No,No,0.998958409
2023,No,Yes,-0.998345077
2024,No,No,0.913848042
2023,No,Yes,0
2022,No,Yes,-0.999755681
2024,No,Yes,0
2024,No,No,0
2023,No,Yes,0
2022,No,No,0
2024,No,No,-0.605829775
2024,No,Yes,0
2024,No,Yes,0
2022,No,No,0
2023,Yes,Yes,0
2024,No,No,0
2023,No,No,0
2024,No,No,-0.997546732
2024,No,No,0
2021,No,No,0
2024,No,Yes,0.993101776
2024,No,No,0
2021,No,Yes,0
2024,No,Yes,-0.999088585
2021,No,Yes,-0.99750787
2023,No,Yes,0
2022,No,No,0
2022,No,Yes,0
2021,Yes,No,0
2024,Yes,No,-0.999813735
2022,No,Yes,0
2023,No,Yes,0
2023,No,No,-0.934332669
2021,Yes,Yes,0
2021,No,Prefer not to say,0
2022,No,No,-0.998318315
2023,No,No,-0.98747611
2023,No,No,-0.999756217
2021,No,Yes,0
2024,No,No,0
2022,No,No,0
2021,No,Yes,-0.99977833
2022,No,No,0
2022,No,No,0
2021,No,No,0
2024,No,No,0
2023,No,Yes,0
2021,No,No,0
2024,No,Yes,-0.962640285
2021,Yes,No,0
2021,No,Yes,-0.988000929
2024,No,Yes,0
2021,No,No,0
2023,No,Yes,0
2024,No,Yes,0
2024,No,No,0.972620547
2022,No,No,0
2024,No,No,0
2022,No,No,0
2023,No,Yes,-0.992817998
2021,No,No,0
2024,No,No,-0.997349977
2022,No,No,0
2024,No,No,-0.998848736
2024,No,No,-0.988202333
2022,No,Yes,0
2021,No,No,-0.99734813
2022,No,No,-0.994274497
2024,No,Yes,0.999856353
2024,No,No,0
2023,No,No,-0.999792874
2022,No,No,0
2024,No,Yes,0.999151289
2024,No,No,0
2024,No,No,0.994297206
2022,No,Yes,0
2024,No,No,0
2021,No,No,0
2022,No,Yes,0
2024,No,Yes,0
2021,No,Yes,0
2023,No,Yes,0
2022,No,No,0
2024,No,Yes,-0.966356695
2024,No,Yes,0.996721745
2021,No,No,0.999869168
2023,No,No,0
2024,No,Yes,0.99984628
2024,No,Yes,0
2024,No,No,-0.998742938
2023,No,Yes,0.99955076
2024,No,No,0
2021,Yes,Yes,0
2022,Yes,No,0
2023,Yes,Yes,0
2023,No,No,-0.999642789
2021,No,No,0
2024,No,Yes,-0.983627617
2023,No,No,0
2022,No,Yes,0
2024,Yes,No,-0.999743462
2022,No,Yes,0
2024,No,No,0
2021,No,Yes,0
2024,No,No,-0.999699235
2021,No,No,-0.999735117
2024,No,Yes,0.995110333
2021,No,Yes,0
2024,No,Yes,0
2021,No,Yes,0
2024,No,Yes,-0.998856008
2021,No,No,0
2022,Yes,No,0
2021,Yes,No,0.997609377
2022,No,No,-0.99948585
2023,No,No,0
2024,No,Yes,0.998835325
2022,No,Yes,0
2021,No,Yes,-0.999483347
2024,No,No,0
2023,No,No,-0.999391139
2021,No,Yes,-0.999335885
2022,No,Yes,0
2022,No,No,-0.999289036
2024,No,Yes,0
2023,No,Yes,-0.999146521
2023,No,Yes,0
2024,Yes,No,0
2024,No,Yes,0
2021,No,No,0
2021,No,No,0
2022,Yes,Yes,-0.995939016
2023,No,No,-0.997961521
2024,No,No,0
2022,No,Yes,0
2024,No,Yes,-0.985954463
2023,No,No,0
2022,No,Yes,-0.999695241
2021,No,No,0
2022,No,No,0
2022,No,Yes,0
2021,No,No,0.999600172
2022,No,No,0
2024,No,No,-0.999564826
2022,No,Yes,-0.999696851
2022,No,No,0
2024,No,Yes,-0.874009192
2022,No,Yes,0.882561147
2024,No,No,-0.988996327
2022,No,Yes,-0.999698937
2022,No,No,-0.999784172
2023,No,No,0
2024,Yes,Yes,0
2021,No,Yes,0
2022,No,Yes,-0.992313564
2023,Yes,No,0
2021,No,No,0
2024,No,Yes,-0.68659693
2022,No,No,0
2022,Yes,Yes,0
2024,No,No,0
2023,No,Prefer not to say,0
2024,No,No,-0.999448001
2021,No,No,0
2022,No,Yes,0
2024,No,Yes,-0.995721042
2024,No,Prefer not to say,0
2024,No,Yes,-0.991853833
2022,No,No,-0.999420166
2024,No,No,0.995480955
2024,No,Yes,0
2023,No,No,0
2022,No,Prefer not to say,0
2024,No,Yes,-0.99948597
2021,No,Yes,0
2024,No,Yes,0.718070865
2023,Yes,No,0
2024,No,No,-0.990358472
2021,No,Yes,0
2023,No,No,0
2024,No,Yes,0.996112764
2023,No,Yes,0
2024,No,No,-0.999784172
2023,No,Yes,-0.999639511
2021,Yes,Yes,-0.950533152
2023,No,No,-0.998118103
2023,No,Yes,0.999155462
2022,Yes,No,0
2024,Yes,Yes,0
2021,No,Prefer not to say,0
2023,No,Yes,0
2023,No,Yes,0
2022,No,No,-0.999784172
2024,No,No,0.999817908
2021,No,Yes,-0.9996503
2022,No,Yes,-0.99784708
2023,No,No,-0.999668479
2023,No,No,0
2022,No,Yes,0.952193916
2024,No,No,0
2023,No,No,0
2024,No,Yes,0
2021,No,Yes,0
2024,No,No,-0.909932852
2024,No,No,0
2024,No,Yes,-0.997415066
2024,Yes,Yes,0
2021,No,Prefer not to say,0
2023,No,No,0
2023,No,Yes,0
2023,No,Yes,-0.507671475
2024,No,Yes,0
2024,No,Yes,-0.998975575
2022,No,No,0
2024,No,Yes,0
2021,Yes,Yes,0
2023,No,No,0
2024,No,No,-0.995999932
2021,No,Yes,0
